"id","Bank_Name","IFSC_Code"
"425","DISTRICT CO-OPERATIVE BANK LTD.RAEBARELI","DTCX"
"426","THE DUNGARPUR CENTRAL CO OPERATIVE BANK LTD.","DUNX"
"427","EXCELLENT CO-OPERATIVE BANK LTD.","ECBL"
"428","ELLAQUAI DEHATI BANK","EDBX"
"429","THE ERODE DISTRICT CENTRAL CO-OPERATIVE BANK LTD.","EDCX"
"430","THE ERNAKULAM DISTRICT CO-OPERATIVE BANK LTD.","EDSX"
"431","THE FAZILKA CENTRAL COOP. BANK LTD.","FCBX"
"432","THE FARIDKOT CENTRAL COOPERATIVE BANK LTD.","FCCX"
"433","FEROKE CO-OPERATIVE BANK LTD.","FEKX"
"434","THE FINANCIAL CO OPERATIVE BANK LTD.","FINX"
"435","THE FARIDABAD CENTRAL CO-OPERATIVE BANK LTD.","FRIX"
"436","THE FATEHGRAH SAHIB CENTRAL COOPERATIVE BANK","FSCX"
"437","THE FEROZEPUR CENTRAL COOP. BANK LTD.","FZCX"
"438","GUJARAT AMBUJA CO OPERATIVE BANK LTD.","GACX"
"439","THE GADHINGLAJ URBAN CO-OP BANK LTD.","GADX"
"440","THE GANDHIDHAM CO OPERATIVE BANK LTD.","GANX"
"441","THE GREATER BOMBAY CO-OPERATIVE BANK LIMITED","GBCB"
"442","THE GURDASPUR CENTRAL COOPERATIVE BANK LTD.","GCCX"
"443","THE GAUHATI CO-OPERATIVE URBAN BANK LTD.","GCUL"
"444","THE GADCHIROLI DISTRICT CENTRAL COOPERATIVE BANK","GDCB"
"445","THE GODHRA URBAN COOP BANK LTD.","GDUX"
"446","THE GHATAL PEOPLES' COOPERATIVE BANK LTD.","GHPX"
"447","THE GOZARIA NAGRIK SAHAKARI BANK LTD.","GNSX"
"448","GODAVARI URBAN CO-OPERATIVE BANK LTD. NASHIK","GODX"
"449","GONDAL NAGARIK SAHAKARI BANK LTD.","GOSX"
"450","THE GANDEVI PEOPLE'S CO-OPERATIVE BANK LIMITED","GPCX"
"451","THE GRAIN MERCHANTS' CO-OPERATIVE BANK LTD.","GRAX"
"452","THE GOA STATE CO-OPERATIVE BANK LTD.","GSBL"
"453","GANDHIBAG SAHAKARI BANK LTD. NAGPUR","GSBX"
"454","GEORGE TOWN CO-OPERATIVE BANK LTD.","GTCX"
"455","THE GOA URBAN CO-OPERATIVE BANK LTD.","GUCX"
"456","THE GURGAON CENTRAL COOP BANK LTD.","GUOX"
"457","HAMIRPUR DISTRICT CO OPERATIVE BANK LTD.","HAMX"
"458","HANUMANGARH KENDRIYA SAHAKARI BANK LTD.","HANX"
"459","THE HINDUSTHAN CO-OPERATIVE BANK LTD.","HCBL"
"460","THE HASTI CO-OP. BANK LTD.","HCBX"
"461","THE HYDERABAD DISTRICT COOPERATIVE BANK LTD.","HDCX"
"462","SARVA HARYANA GRAMIN BANK","HGBX"
"463","THE HISAR CENTRAL CO-OPERATIVE BANK LTD. HISAR","HISX"
"464","HIMACHAL GRAMIN BANK","HMBX"
"465","THE HOSHIARPUR CENTRAL CO-OPERATIVE BANK LTD.","HOCX"
"466","HOOGHLY DISTRICT CENTRAL CO-OPERATIVE BANK LTD.","HOOX"
"467","SHREE PARSWANATH CO-OPERATIVE BANK LTD.","HPCX"
"468","THE HIMACHAL PRADESH STATE CO-OPERATIVE BANK LTD.","HPSX"
"469","THE HARYANA STATE CO-OPERATIVE APEX BANK LTD.","HSCX"
"470","THE HASSAN DISTRICT CO-OPERATIVE CENTRAL BANK LTD.","HSDX"
"471","HUTATMA SAHAKARI BANK LTD.","HUTX"
"472","THE INDUSTRIAL CO-OPERATIVE BANK LTD.","ICBL"
"473","THE ICHALKARANJI MERCHANTS COOP BANK","ICHX"
"474","INDORE CLOTH MARKET CO-OP BANK LTD.","ICMX"
"475","IDUKKI DISTRICT CO OPERATIVE BANK LTD.","IDUX"
"476","THE IMPHAL URBAN CO OPERATIVE BANK","IMPX"
"477","INDEPENDENCE CO-OP. BANK LTD. NASIK","INDX"
"478","INDORE PREMIER CO-OPERATIVE BANK LTD. INDORE","IPCX"
"479","INDORE PARASPAR SAHAKARI BANK LTD.","IPSX"
"480","INDRAPRASTHA SEHKARI BANK LTD.","ISBX"
"481","IRINJALAKUDA TOWN CO-OPERATIVE BANK LTD.","ITCX"
"482","JAIN CO-OPERATIVE BANK LIMITED","JACX"
"483","THE JANALAXMI CO-OPERATIVE BANK LTD.","JALX"
"484","JAMIA CO-OPERATIVE BANK LTD.","JAMX"
"485","JANASEVA SAHAKARI BANK LTD. PUNE","JANA"
"486","THE JANATA CO-OPERATIVE BANK LTD.","JANX"
"487","JANATHA SEVA COOPERATIVE BANK LTD.","JASX"
"488","JANATA CO-OP. BANK LTD. MALEGAON.","JCBX"
"489","THE JAIPUR CENTRAL CO-OPERATIVE BANK LTD.","JCCB"
"490","THE JALANDHAR CENTRAL COOPERATIVE BANK LIMITED","JCCX"
"491","THE JAMNAGAR DISTRICT COOP BANK LTD.","JCDX"
"492","JAGRUTI CO-OPERATIVE URBAN BANK LTD.","JCUX"
"493","JALAUN DISTRICT CO-OPERATIVE BANK LTD.","JDCX"
"494","JILA SAHAKARI BANK MYDT. GWALIOR","JGWX"
"495","JHUNJHUNU KENDDRIYA SAHAKARI BAK LTD.","JHUX"
"496","JALGAON JANATA SAHKARI BANK LTD.","JJSB"
"497","JANAKALYAN COOP BANK LTD. NASHIK","JKCX"
"498","JILA SAHAKARI KEND.BANK","JKDX"
"499","JHALAWAR KENDRIYA SAHKARI BANK LTD.","JKEX"
"500","THE J&K STATE CO-OPERATIVE BANK LTD.","JKSX"
"501","JALNA MERCHANTS CO-OP BANK LTD.","JMCX"
"502","JAMSHEDPUR URBAN CO-OPERATIVE BANK LTD.","JMHX"
"503","THE JAMMU CENTRAL CO-OPERATIVE BANK LTD.","JMMX"
"504","THE JAMNAGAR PEOPLES COOPERATIVE BANK LTD.","JMPX"
"505","JIJAMATA MAHILA SAHAKARI BANK LTD.","JMSX"
"506","THE JODHPUR CENTRAL CO OPERATIVE BANK LTD.","JODX"
"507","JODHPUR NAGRIK SAHAKARI BANK LIMITED","JONX"
"508","THE JOWAI COOPERATIVE URBAN BANK LTD.","JOWX"
"509","THE JALGAON PEOPLES CO OP BANK LTD.","JPCB"
"510","THE JALPAIGURI CENTRAL CO-OPERATIVE BANK LTD.","JPCX"
"511","THE JAIN SAHAKARI BANK LTD.","JSAB"
"512","JANATA SAHAKARI BANK LTD. AJARA","JSAX"
"513","JANAKALYAN SAHAKARI BANK","JSBL"
"514","JANASEVA CO-OPERATIVE BANK LTD. NASHIK","JSBX"
"515","JILA SAHAKARI KENDRIYA BANK MARYADIT RAIPUR","JSKX"
"516","JANSEWA URBAN CO-OP BANK LTD.","JSWX"
"517","JAYSINGPUR UDGAON SAHAKARI BANK LTD. JAYSINGPUR","JUSX"
"518","JIVAN COMMERCIAL CO OPERATIVE BANK LTD.","JVCX"
"519","THE KANGRA CENTRAL CO-OPERATIVE BANK LTD.","KACE"
"520","THE KASARAGOD DISTRICT CO-OPERATIVE BANK LTD.","KADX"
"521","THE KALNA TOWN CREDIT COOPERATIVE BANK LTD.","KALX"
"522","KAMALA COOP BANK LTD. SOLAPUR","KAMX"
"523","THE KAIRA DIST CENTRAL CO OPERATIVE BANK LTD.","KARX"
"524","THE KANYAKUMARI DISTRICT CENTRAL COOPERATIVE BANK","KAYX"
"525","KRISHNA BHIMA SAMRUDDHI LOCAL AREA BANK","KBSX"
"526","KANCHEEPURAM CENTRAL COOPERATIVE BANK","KCCX"
"527","THE KOTA CENTRAL COOP BANK LTD. KOTA","KCEX"
"528","THE KANGRA CO-OPERATIVE BANK LTD.","KCOB"
"529","THE KHATTRI COOPERATIVE URBAN BANK LIMITED","KCUB"
"530","THE KANNUR CO-OP URBAN BANK LTD.","KCUX"
"531","THE KARIMNAGAR DISTRICT COOPERATIVE CENTRAL BANK","KDBX"
"532","SHREE KADI NAGARIK SAHAKARI BANK LTD.","KDIX"
"533","KASHI GOMTI SAMYUT GRAMIN BANK","KGSX"
"534","KANKARIA MAINAGAR NAGRIK SAHAKARI BANK LTD.","KKMX"
"535","THE KOLLAM DISTRICT CO-OP BANK LTD.","KLMX"
"536","KOKAN MERCANTILE CO-OPERATIVE BANK LTD.","KMCB"
"537","KRISHNA MERCANTILE CO-OP BANK LTD.","KMCX"
"538","KOLHAPUR MAHILA SAHAKARI BANK LTD.","KMSX"
"539","KURLA NAGARIK SAHAKARI BANK LTD.","KNSB"
"540","THE KODUNGALLUR TOWN CO-OPERATIVE BANK LTD.","KODX"
"541","THE KOYLANCHAL URBAN CO-OPERATIVE BANK LTD.","KOYX"
"542","KOLHAPUR DIST.CENTRAL CO-OP BANK LTD. KOLHAPUR","KPCX"
"543","THE KRISHNAGAR CITY CO OPERATIVE BANK LTD.","KRIX"
"544","KARAMANA COOPERATIVE URBAN BANK LTD.","KRMX"
"545","THE KARNAVATI CO.OP. BANK LTD.","KRNX"
"546","KERALA STATE CO-OPERATIVE BANK LTD.","KSCX"
"547","KASHIPUR URBAN CO OPERATIVE BANK LTD.","KSUX"
"548","THE KAPURTHALA CENTRAL COOPERATIVE BANK LTD.","KTCX"
"549","THE KARAD URBAN CO-OP BANK LTD.","KUCB"
"550","THE KOLHAPUR URBAN CO-OP BANK LTD.","KUCX"
"551","THE KUKARWADA NAGARIK SAHAKARI BANK LTD.","KUKX"
"552","THE KUMBAKONAM CENTRAL CO-OPERATIVE BANK LTD.","KUMX"
"553","KAVITA URBAN COOP BANK LTD.","KVCX"
"554","KARNATAKA VIKAS GRAMEENA BANK","KVGB"
"555","THE LAXMI CO-OPERATIVE BANK LTD. SOLAPUR","LACX"
"556","THE LATUR URBAN COOP BANK LTD. LATUR","LATX"
"557","THE LATUR DISTRICT CENTRAL CO OP BANK LTD.","LDCX"
"558","LILUAH CO-OPERATIVE BANK LTD.","LICB"
"559","THE LITTLE KANCHEEPURAM CO-OP URBAN BANK LTD.","LKCX"
"560","LAXMI MAHILA NAGRIK SAHAKARI BANK MARYADIT","LMNX"
"561","LOKVIKAS NAGARI SAHAKARI BANK LTD. AURANGABAD","LOKX"
"562","LUCKNOW URBAN CO-OPERATIVE BANK LTD.","LUCX"
"563","THE MALLESHWARAM CO-OP BANK LTD.","MABL"
"564","THE MAHABHAIRAB COOP URBAN BANK LTD.","MACX"
"565","MADHYANCHAL GRAMIN BANK","MADX"
"566","SHREE MAHALAXMI URBAN CO-OP CREDIT BANK LTD.","MAHX"
"567","THE MAKARPURA INDUSTRIAL ESTATE COOP BANK LTD.","MAKX"
"568","MALVIYA URBAN CO OPERATIVE BANK LTD.","MALX"
"569","THE MANSA NAGARIK SAHAKARI BANK LTD.","MANX"
"570","MAHESH URBAN CO-OPERATIVE BANK LTD. SOLAPUR","MASX"
"571","MANTHA URBAN CO OP BANK LTD.","MAUX"
"572","SHREE MAHAVIR SAHAKARI BANK LTD.","MAVX"
"573","MADYA BIHAR GRAMIN BANK erstwhile Dakshin Bihar Gramin Bank","MBGX"
"574","THE MAHANAGAR CO-OP. BANK LTD.","MCBL"
"575","THE MUKTSAR CENTRAL CO-OPERATED BANK LTD.","MCCX"
"576","MUZAFFARNAGAR DISTRICT COOPERATIVE BANK LTD.","MCDX"
"577","THE MATTANCHERRY SARVAJANIK COOP BANK LTD.","MCSX"
"578","MAHAVEER CO-OPERATIVE URBAN BANK LIMITED","MCUX"
"579","MUMBAI DISTRICT CENTRAL CO-OP BANK LTD.","MDCB"
"580","THE MADURAI DISTRICT CENTRAL COOPERATIVE BANK LTD.","MDCX"
"581","MODEL CO-OPERATIVE BANK LTD.","MDEX"
"582","RAJASTHAN MARUDHARA GRAMIN BANK","MDGX"
"583","THE DISTRICT CO-OPERATIVE CENTRAL BANK LTD.MEDAK","MEDX"
"584","MAHARASHTRA GRAMIN BANK","MGBX"
"585","THE MOGAVEERA CO-OPERATIVE BANK LTD.","MGCB"
"586","MANSING CO-OPERATIVE BANK LTD.","MGCX"
"587","MANGALDAI NAGAR SAMABAI BANK LTD.","MGSX"
"588","MIZUHO BANK LTD.","MHCB"
"589","MAHOBA URBAN COOPERATIVE BANK LTD. MAHOBA","MHCX"
"590","MAHILA CO-OPERATIVE BAK LTD.","MHLX"
"591","SHRI MAHALAXMI CO-OP BAK LTD. KOLHAPUR","MHMX"
"592","MAHANAGAR NAGRIK SAHAKARI BANK MARYADIT","MHNX"
"593","THE MIZORAM COOPERATIVE APEX BANK LTD.","MIZX"
"594","THE MALKAPUR URBAN CO-OP BANK LTD.","MKUX"
"595","MALDA DISTRICT CENTRAL COOPERATIVE BANK LTD.","MLDX"
"596","THE MATTANCHERRY MAHAJANIK CO-OP URBAN BANK LTD.","MMCX"
"597","THE MANSA CENTRAL CO-OPERATIVE BANK LTD.","MNCX"
"598","THE MEHSANA NAGARIK SAHAKARI BANK LTD.","MNSX"
"599","THE MOIRANG PRIMARY CO-OPERATIVE BANK LTD.","MPCX"
"600","THE MALAPPURAM DISTRICT CO-OPERATIVE BANK LIMITED","MPDX"
"601","MADHTYA PRADESH RAJYA SAHAKARI BANK MARYADIT","MPRX"
"602","MANIPUR RURAL BANK","MRBX"
"603","MARATHA COOPERATIVE BANK LTD.","MRTX"
"604","MANSAROVAR URBAN CO-OPERATIVE BANK LTD.","MSAX"
"605","THE MALAD SAHAKARI BANK LTD.","MSBL"
"606","M.S.CO-OPERATIVE BANK LTD.","MSBX"
"607","MAHARASHTRA STATE CO-OPERATIVE BANK LTD.","MSCI"
"608","THE MANIPUR STATE CO OPERATIVE BANK LTD.","MSCX"
"609","MASHREQ BANK","MSHQ"
"610","THE MEHSANA DISTRICT CENTRAL CO OP BANK LTD.","MSNX"
"611","THE MUNICIPAL CO-OP BANK LTD.","MUBL"
"612","THE MEHMADABAD URBAN PEOPLES CO-OP BANK LTD.","MUPX"
"613","THE MURSHIDABAD DISTRICT CENTRAL CO-OP BANK LTD.","MURX"
"614","THE MUSLIM CO-OPERATIVE BANK LTD.","MUSX"
"615","THE MAHAVEER CO-OPERATIVE BANK LTD.","MVCX"
"616","MANVI PATTANA SOUHARDA SAHAKARI BANK NI","MVIX"
"617","THE MEGHALAYA COOPERATIVE APEX BANK LTD.","MYAX"
"618","MIZORAM URBAN COOPERATIVE DEVELOPMENT BANK LTD.","MZCX"
"619","MIZORAM RURAL BANK","MZRX"
"620","NAGALAND RURAL BANK","NAGX"
"621","NASIK DISTRICT CENTRAL CO-OPERATIVE BANK LTD.","NASX"
"622","THE NAGAUR CENTRAL CO-OPERATIVE BANK LTD.","NAUX"
"623","THE NAVNIRMAN CO-OPERATIVE BANK LTD.","NAVX"
"624","THE NAWANAGAR CO OPERATIVE BANK LTD.","NAWX"
"625","THE NATIONAL CO-OPERATIVE BANK LTD. BANGALORE","NBBX"
"626","THE NATIONAL CO-OPERATIVE BANK LTD.","NCBL"
"627","THE NAWANSHAHR CENTRAL COOPERATIVE BANK LTD.","NCBX"
"628","THE NILAMBUR CO-OPERATIVE URBAN BANK LTD.","NCUX"
"629","NADIA DISTRICT CENTRAL CO OPERATIVE BANK LTD.","NDDX"
"630","NASHIK DISTRICT INDUSTRIAL & MERCANTILE COOP BANK","NDIX"
"631","NAGAR SAHAKARI BANK LTD.MAHARAJGANJ","NGBX"
"632","NAGRIK SAHAKARI BANK MARYADIT GWALIOR","NGKX"
"633","NAGAR SAHKARI BANK LTD.","NGRX"
"634","NAGPUR NAGARIK SAHAKARI BANK LTD.","NGSB"
"635","NAGARIK SAHAKARI BANK MARYADIT DURG","NGSX"
"636","NIDHI CO OPERATIVE BANK LTD.","NIDX"
"637","NILKANTH CO OPERATIVE BANK LTD.","NILX"
"638","NIRMAL URBAN CO OP BANK LTD. NAGPUR","NIRX"
"639","THE NAV JEEVAN CO-OP BANK LTD.","NJCX"
"640","NARMADA JHABUA GRAMIN BANK (Erstwhile Madhya Pradesh Gramin Bank","NJGX"
"641","NASHIK JILLHA MAHILA VIKAS SAHAKARI BANK LTD.","NJMX"
"642","THE NASIK JILHA MAHILA SAHAKARI BANK LTD.","NJSX"
"643","THE NALGONDA DIST. CO-OP. CENTRAL BANK LTD.","NLGX"
"644","THE NASIK MERCHANTS COOPERATIVE BANK LTD.","NMCB"
"645","THE NARODA NAGRIK CO-OPERATIVE BANK LTD.","NNCX"
"646","NUTAN NAGARIK SAHAKARI BANK LTD.","NNSB"
"647","THE BANK OF NOVA SCOTIA","NOSC"
"648","THE NASIK ROAD DEOLALI VYAPARI SAHAKARI BANK LTD.","NRDX"
"649","NAGALAND STATE COOPERATIVE BANK LTD.","NSCX"
"650","NAGRIK SAHAKARI BANK LTD. INDORE","NSIX"
"651","NAGARIK SAMABAY BANK LTD.","NSMX"
"652","NAGRIK SAHAKARI BANK LTD.","NSRX"
"653","THE NAINITAL BANK LIMITED","NTBL"
"654","THE NEW URBAN CO-OPERATIVE BANK LTD. RAMPUR","NUBX"
"655","NAGAR URBAN CO OPERATIVE BANK LTD.","NUCB"
"656","NAVABHARAT CO-OP. URBAN BANK LTD.","NUCX"
"657","NAVANAGARA URBAN CO-OPERATIVE BANK LTD.","NVCX"
"658","NAGAR VIKAS SAHKARI BANK LTD.","NVSX"
"659","ODISHA GRAMYA BANK","ODGB"
"660","DOHA BANK QSC","OIBA"
"661","THE OJHAR MERCHANT'S CO-OP BANK LTD.","OMCX"
"662","OMKAR NAGREEYA SAHKARI BANK LTD.","ONSX"
"663","THE ODISHA STATE CO-OPERATIVE BANK LTD.","ORCB"
"664","OSMANABAD JANATA SAHAKARI BANK LTD.","OSMX"
"665","PALLAVAN GRAMA BANK","PABX"
"666","THE PADRA NAGAR NAGRIK SAHAKARI BANK LTD.","PADX"
"667","THE PANCHMAHAL DISTRICT CO OPERATIVE BANK LTD.","PANX"
"668","THE PARBHANI DISTRICT CENTRAL COOP BANK LTD.","PARX"
"669","PASCHIM BANGA GRAMIN BANK","PASX"
"670","PUDUVAI BHARATHIAR GRAMA BANK","PBGX"
"671","PATAN CO-OPEARTIVE BANK LTD.","PCBL"
"672","PARSHWANATH CO-OPERATIVE BANK LTD.","PCBX"
"673","THE PANCHKULA CENTRAL CO-OPERATIVE BANK LTD.","PCCX"
"674","THE PANCHSHEEL MERCANTILE CO-OP BANK LTD.","PCMX"
"675","OMPRAKASH DEORA PEOPLES CO OP BANK LTD HINGOLI","PCOX"
"676","THE PONDICHERRY STATE CO-OP BANK LTD.","PCSX"
"677","PRIYADARSHANI NAGARI SAHAKARI BANK LTD. JALNA.","PDSX"
"678","THE PANDHARPUR URBAN CO-OP BANK LTD.","PDUX"
"679","PRAGATHI KRISHNA GRAMIN BANK","PGBX"
"680","PROGRESSIVE URBAN CO-OPERATIVE BANK LTD.","PGRX"
"681","THE PALAKKAD DISTRICT CO OP BANK LTD.","PKDX"
"682","THE PIMPALGAON MERCHANTS CO-OP BANK LTD.","PMCX"
"683","PRIME CO-OPERATIVE BANK LTD.","PMEC"
"684","PRAGATI MAHILA NAGRIK SAHAKARI BANK LTD. BHILAI","PMNX"
"685","THE PANIPAT URBAN COOPERATIVE BANK LTD.","PNCX"
"686","PUNE MERCHANT'S CO-OPERATIVE BANK LTD.","PNMX"
"687","POORNAWADI NAGRIK SAHAKARI BANK M.BEED.","PNSX"
"688","PUNE PEOPLE'S CO-OP.BANK LTD. .","PPBX"
"689","THE PACHORA PEOPLES CO-OP. BANK LTD.PACHORA","PPCX"
"690","PRERANA CO-OP BANK LTD.","PREX"
"691","PROGRESSIVE MERCANTILE CO-OPERATIVE BANK LTD.","PROX"
"692","PARASPAR SAHAYAK CO-OP BANK","PRPX"
"693","PRAGATI SAHAKARI BANK LTD.","PSBX"
"694","THE PUNJAB STATE COOPERATIVE BANK LTD.","PSCX"
"695","THE PATIALA CENTRAL COOPERATIVE BANK LTD.","PTCX"
"696","THE PATAN URBAN CO-OP BANK LTD. PATAN","PTNX"
"697","PEOPLES URBAN CO-OPERATIVE BANK LTD.","PUBX"
"698","PUSAD URBAN CO-OP BANK LTD.","PUCX"
"699","PUDUKOTTAI DISTRICT CENTRAL COOPERATIVE BANK LTD.","PUDX"
"700","PUNJAB GRAMIN BANK","PUGX"
"701","PUNE URBAN CO-OPERATIVE BANK LTD.","PUNX"
"702","PURVANCHAL GRAMIN BANK","PURX"
"703","PURASAWALKAM CO-OPERATIVE BANK","PUSX"
"704","PURVANCHAL COOP BANK LTD. GAZIPUR","PVCX"
"705","THE QUILON CO-OPERATIVE URBAN BANK LTD.","QUCX"
"706","RABOBANK INTERNATIONAL","RABO"
"707","RAJKOT COMMERCIAL COOPERATIVE BANK LTD.","RACX"
"708","THE RAILWAY EMPLOYEES COOPERATIVE BANK LTD.","RAEX"
"709","THE RAJSAMAND URBAN CO OP BANK LTD.","RAJX"
"710","RAJKOT PEOPLES COOPERATIVE BANK LTD.","RAKX"
"711","THE RANDER PEOPLES COOP BANK LTD.","RANX"
"712","RAJLAXMI URBAN CO OPERATIVE BANK LTD.","RAUX"
"713","RAJARAMBAPU SAHAKARI BANK LTD. PETH","RBBX"
"714","THE ROPAR CENTRAL COOPERATIVE BANK","RCCX"
"715","THE RAMANATHAPURAM DISTRICT CENTRAL CO OP BANK LTD.","RCDX"
"716","RAIGAD DISTRICT CENTRAL CO-OP BANK LTD.","RDCX"
"717","COL RD NIKAM SAINIK SAHAKARI BANK LTD.","RDNX"
"718","RAJGURUNAGAR SAHAKARI BANK LTD.","RGSX"
"719","RAIGANJ CENTRAL CO OP BANK LTD.","RJCX"
"720","SHRI RAJKOT DISTRICT CO OP BANK LTD.","RJTX"
"721","RANILAXMIBAI URBAN CO-OPERATIVE BANK LTD.","RLUX"
"722","RANGA REDDY COOP URBAN BANK LTD.","RNGX"
"723","RAJKOT NAGARIK SAHAKARI BANK LTD.","RNSB"
"724","RAMRAJYA SAHAKARI BANK LTD.","RRSX"
"725","RAIGAD SAHAKARI BANK LIMITED","RSBX"
"726","THE RAJASTHAN STATE CO-OPERATIVE BANK LTD.","RSCB"
"727","RAJARSHI SHAHU SAHAKARI BANK LTD.","RSSX"
"728","THE RAJASTHAN URBAN COOP BANK LTD.","RUCX"
"729","THE RAIPUR URBAN MERCANTILE CO OP BANK LTD.","RUMX"
"730","RAMPUR ZILA SAHKARI BANK LTD.","RZSX"
"731","SHRI ARIHANT CO-OPERATIVE BANK LTD.","SACB"
"732","THE SABARKANTHA DISTRICT CENTRAL COOP BANK LTD.","SADX"
"733","THE SAHEBRAO DESHMUKH CO-OP. BANK LTD.","SAHE"
"734","SAMATA SAHAKARI BANK LTD.","SAMX"
"735","SARDARGANJ MERCANTILE CO OPERATIVE BANK LTD.","SARX"
"736","THE SAHYADRI SAHAKARI BANK LTD.","SASA"
"737","THE S.A.S NAGAR CENTRAL COOPERATIVE BANK LTD.","SASX"
"738","ADV.SHAMRAOJI SHINDE SATYASHODHAK BANK LTD.","SATX"
"739","THE SAIDAPET CO-OP URBAN BANK LTD.","SAUX"
"740","SARDAR VALLABHBHAI SAHAKARI BANK LTD.","SAVX"
"741","THE SULTAN'S BATTERY CO-OPERATIVE URBAN BANK LTD.","SBCX"
"742","SONALI BANK LIMITED","SBLD"
"743","SHUBHALAKSHMI MAHILA CO OP BANK LTD.","SBLX"
"744","SHREE BHAVNAGAR NAGRIK SAHAKARI BANK LTD.","SBNX"
"745","SARDAR BHILADWALA PARDI PEOPLE'S COOP BANK LTD.","SBPX"
"746","SHREE BALAJI URBAN CO OPERATIVE BANK LTD.","SBUX"
"747","THE SIROHI CENTRAL COOPERATIVE BANK LTD.","SCBX"
"748","THE SOCIAL CO-OPERATIVE BANK LTD.","SCIX"
"749","SHRI CHHANI NAGRIK SAHKARI BANK LTD.","SCNX"
"750","THE SANGRUR CENTRAL CO-OPERATIVE BANK LTD.","SCPX"
"751","SREE CHARAN SOUHARDHA CO-OP BANK LTD.","SCSX"
"752","SUDHA CO-OPERATIVE URBAN BANK LTD.","SCUX"
"753","SINDHUDURG DISTRICT CENTRAL COOPERATIVE BANK LTD.","SDCX"
"754","SOLAPUR SIDDHESHWAR SAHAKARI BANK LTD.","SDHX"
"755","SHRI MAHILA SEWA SAHAKARI BANK LTD.","SEWX"
"756","SANGLI DISTRICT CENTRAL CO-OP BANK LTD.","SGCX"
"757","SANGLI SAHAKARI BANK LTD.","SGLX"
"758","SADGURU NAGRIK SAHAKARI BANK MARYADIT","SGSX"
"759","SHANKAR NAGARI SAHAKARI BANK LTD.","SHAX"
"760","SHINHAN BANK","SHBK"
"761","SHRIRAM URBAN CO-OPERATIVE BANK LTD.","SHBX"
"762","THE SHIMLA URBAN COOP BANK LTD.","SHCX"
"763","SHREE SAMARTH SAHAKARI BANK LTD. NASHIK","SHEX"
"764","SHIVALIK MERCANTILE CO-OP BANK LTD.","SHIX"
"765","SHIKSHAK SAHAKARI BANK LTD.","SHKX"
"766","THE SANGHAMITRA CO OP URBAN BANK LTD.","SHMX"
"767","SIHOR MERCANTILE CO-OPERATIVE BANK LTD.","SHOX"
"768","SHREE MAHESH CO-OPERATIVE BANK LTD. NASHIK","SHRX"
"769","SHARAD SAHAKARI BANK LTD.","SHSX"
"770","SIDDHI CO-OPERATIVE BANK LTD.","SIDX"
"771","SIHOR NAGARIK SAHAKARI BANK LTD.","SIHX"
"772","THE SANKHEDA NAGARIK SAHAKARI BANK LTD.","SKNX"
"773","S S L S A KURUNDWAD URBAN BANK LTD.","SKUX"
"774","SUBHADRA LOCAL AREA BANK LTD.","SLAX"
"775","SHREE LAXMI CO-OPERATIVE BANK LTD. PUNE","SLCX"
"776","SUMITOMO MITSUI BANKING CORPORATION","SMBC"
"777","SHREE MAHALAXMI MERCANTILE COOP BANK LTD. DABHOI","SMMX"
"778","SHREE MAHUVA NAGRIK SAHAKARI BANK LTD.","SMNX"
"779","SHANKARRAO MOHITE PATIL SAHAKRI BANK LTD. AKLUJ","SMPX"
"780","SHRI MAHAVIR URBAN CO-OPERATIVE BANK LTD.","SMUX"
"781","SIR M VISVESVARAYA CO-OPERATIVE BANK LTD.","SMVC"
"782","SREE SUBRAMANYESWARA CO-OPERATIVE BANK LTD.","SMWX"
"783","SARASPUR NAGARIK CO OPERATIVE BANK LTD.","SNAX"
"784","THE SONEPAT URBAN CO-OP.BANK LTD.","SNCX"
"785","THE SARANGPUR CO-OPERATIVE BANK LTD.","SNGX"
"786","SHRAMIK NAGRIK SAHKARI BANK LTD.","SNKX"
"787","THE SONEPAT CENTRAL CO OPERATIVE BANK LTD.","SNPX"
"788","SMRITI NAGRIK SAHAKARI BANK","SNSX"
"789","SOCIETE GENERALE","SOGE"
"790","THE SOLAPUR DISTRICT CENTRAL CO-OP. BANK LTD.","SOLX"
"791","SONBHADRA NAGAR SAHKARI BANK LTD.","SONX"
"792","SAPTAGIRI GRAMEENA BANK","SPBX"
"793","THE SURAT PEOPLE'S CO-OP. BANK LTD.","SPCB"
"794","THE SHIRPUR PEOPLES CO-OP BANK LTD.","SPCX"
"795","SHREE PANCHGANGA NAGARI SAHAKARI BANK LTD.","SPNX"
"796","SANDUR PATTANA SOUHARDA SAHAKARI BANK NIYAMITHA","SPSX"
"797","SHRIPATRAODADA SAHAKARI BANK LTD.","SPTX"
"798","SHREE BHARAT COOP BANK LTD.","SRCX"
"799","SHREE COOP BANK LTD.","SREX"
"800","SHREE DHARATI COOP BANK LTD.","SRHX"
"801","SHARAD NAGARI SAHAKARI BANK LTD.","SRSX"
"802","THE SATARA SHAKARI BANK LTD.","SSBL"
"803","SHIVDAULAT SAHAKARI BANK LTD.","SSBX"
"804","SHREE SHARADA SAHAKARI BANK LTD.","SSHX"
"805","SADHANA SAHAKARI BANK LTD.","SSKX"
"806","SAMARTH SAHAKARI BANK LTD. SOLAPUR","SSOX"
